reported ID	URL	referenced ID	referenced URL	status	component	importance	keyword	version
86665	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86665	1876	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=1876	dupl	c++	P3	accepts-invalid	9.0
86502	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86502	5134	https://bugs.llvm.org/show_bug.cgi?id=5134	dupl	c++	P3	accepts-invalid	9.0
86298	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86298	6964	https://bugs.llvm.org/show_bug.cgi?id=6964	dupl	c++	P3	accepts-invalid	8.0.1
86596	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86596	7607	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=7607	dupl	c++	P3	accepts-invalid	9.0
86185	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86185	9276	https://bugs.llvm.org/show_bug.cgi?id=9276	dupl	c++	P3	accepts-invalid	7.0
86580	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86580	10618	https://bugs.llvm.org/show_bug.cgi?id=10618	dupl	c++	P3	accepts-invalid	9.0
86230	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86230	14500	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=14500	dupl	c++	P3	accepts-invalid	unknown
86600	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86600	24030	https://bugs.llvm.org/show_bug.cgi?id=24030	dupl	c++	P3	accepts-invalid	9.0
86187	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86187	25357	https://bugs.llvm.org/show_bug.cgi?id=25357	dupl	c++	P3	accepts-invalid	9.0
86235	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86235	37719	https://bugs.llvm.org/show_bug.cgi?id=37719	dupl	c++	P3	accepts-invalid	5.1.0
86255	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86255	37850	https://bugs.llvm.org/show_bug.cgi?id=37850	dupl	c++	P3	accepts-invalid	9.0
86225	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86225	71748	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=71748	dupl	c++	P3	accepts-invalid	4.4.0
86237	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86237	79184	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=79184	dupl	c++	P3	accepts-invalid	4.8.1
86250	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86250	2189	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=2189	dupl	c++	P3	accepts-invalid	unknown
86499	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86499	18128	https://bugs.llvm.org/show_bug.cgi?id=18128	fixed	c++	P3	accepts-invalid	8.1.0
86249	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86249	1876	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=1876	new	c++	P3	accepts-invalid	unknown
86563	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86563	6527	https://bugs.llvm.org/show_bug.cgi?id=6527	new	c++	P3	accepts-invalid	9.0
86633	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86633	9546	https://bugs.llvm.org/show_bug.cgi?id=9546	new	c++	P3	accepts-invalid	9.0
86601	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86601	9834	https://bugs.llvm.org/show_bug.cgi?id=9834	new	c++	P3	accepts-invalid	9.0
86652	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86652	13447	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=13447	new	c++	P3	accepts-invalid	9.0
86561	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86561	14265	https://bugs.llvm.org/show_bug.cgi?id=14265	new	c++	P3	accepts-invalid	9.0
86581	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86581	14503	https://bugs.llvm.org/show_bug.cgi?id=14503	new	c++	P3	accepts-invalid	9.0
86602	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86602	15842	https://bugs.llvm.org/show_bug.cgi?id=15842	new	c++	P3	accepts-invalid	9.0
86233	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86233	16021	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=16021	new	c++	P3	accepts-invalid	unknown
86500	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86500	20991	https://bugs.llvm.org/show_bug.cgi?id=20991	new	c++	P3	accepts-invalid	8.1.0
86238	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86238	37720	https://bugs.llvm.org/show_bug.cgi?id=37720	new	c++	P3	accepts-invalid	unknown
86228	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86228	45278	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=45278	new	c++	P3	accepts-invalid	unknown
86234	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86234	62255	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=62255	new	c++	P3	accepts-invalid	unknown
86181	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86181	5966	https://bugs.llvm.org/show_bug.cgi?id=5966	suspended	c++	P3	accepts-invalid	8.1.0
86191	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86191	8427	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=8427	suspended	c++	P3	accepts-invalid	unknown
86583	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86583	53903	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=53903	suspended	c++	P3	accepts-invalid	9.0
86253	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86253	37843	https://bugs.llvm.org/show_bug.cgi?id=37843	unconfirmed	c++	P3	accepts-invalid	unknown
86299	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86299	7385	https://bugs.llvm.org/show_bug.cgi?id=7385	invalid	c++	P3	accepts-invalid	9.0
86303	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86303	7055	https://bugs.llvm.org/show_bug.cgi?id=7055	unconfirmed	c++	P3	accepts-invalid	9.0
86501	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86501	28023	https://bugs.llvm.org/show_bug.cgi?id=28023	new	c++	P3	accepts-invalid	8.1.0
86564	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86564	4594	https://bugs.llvm.org/show_bug.cgi?id=4594	new	c++	P3	accepts-invalid	9.0
86565	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86565	21332	https://bugs.llvm.org/show_bug.cgi?id=21332	unconfirmed	c++	P3	accepts-invalid	9.0
86577	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86577	7209	https://bugs.llvm.org/show_bug.cgi?id=7209	unconfirmed	c++	P3	accepts-invalid	9.0
86579	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86579	30782	https://bugs.llvm.org/show_bug.cgi?id=30782	unconfirmed	c++	P3	accepts-invalid	9.0
86634	https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86634	6031	https://bugs.llvm.org/show_bug.cgi?id=6031	invalid	c++	P3	accepts-invalid	9.0
