gcc++,reported ID,URL,referenced ID,referenced URL,status,component,importance,keyword,version,code sample
,86665,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86665,1876,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=1876,dupl,c++,P3,accepts-invalid,9.0,"namespace Name {
 template <class T> class Point;
}

using Name::Point;

template <class T> class Point {
 public:
 Point() {}
 protected:
 T member;
};

int main(void) {
 Name::Point<double> d;
 return(0);
}"
,86502,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86502,5134,https://bugs.llvm.org/show_bug.cgi?id=5134,dupl,c++,P3,accepts-invalid,9.0,"class Test
{
 friend const int getInt(int inInt = 0);
};"
,86298,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86298,6964,https://bugs.llvm.org/show_bug.cgi?id=6964,dupl,c++,P3,accepts-invalid,8.0.1,"template <typename ,int, int = 9223372036854775807L >
struct as_nview { };

template <typename Sequence, int I0> 
struct as_nview<Sequence, I0> 
{ };"
,86596,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86596,7607,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=7607,dupl,c++,P3,accepts-invalid,9.0,"template<char i> struct A {};

typedef A<255> B;

int main() { return 0; }"
,86185,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86185,9276,https://bugs.llvm.org/show_bug.cgi?id=9276,dupl,c++,P3,accepts-invalid,7.0,"template<typename T>
void f() {
  auto i = T(), j = 0;
}

int main() {
  f<long>();
  f<int>();
}"
,86580,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86580,10618,https://bugs.llvm.org/show_bug.cgi?id=10618,dupl,c++,P3,accepts-invalid,9.0,"struct S { S(const S&, int); S(int); }; S::S(const S& = S(0), int = 0) {}"
,86230,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86230,14500,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=14500,dupl,c++,P3,accepts-invalid,unknown,"#include <vector>
#include <cassert>
#define VERIFY assert
 
struct T { int i; };

int swap_calls;

namespace std
{
 // Should be most specialized.
#if 1
 template<> 
#endif
 inline void 
 swap(vector<T, allocator<T> >&, vector<T, allocator<T> >&) 
 { ++swap_calls; }
}

void test01()
{
 bool test __attribute__((unused)) = true;
 std::vector<T> A;
 std::vector<T> B;
 swap_calls = 0;
 std::swap(A, B);
 VERIFY(1 == swap_calls); // XXX fails
}

void test02()
{
 bool test __attribute__((unused)) = true;
 using namespace std;
 vector<T> A;
 vector<T> B;
 swap_calls = 0;
 swap(A, B);
 VERIFY(1 == swap_calls);
}

int main()
{
 test01();
 test02();
 return 0;
}"
,86600,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86600,24030,https://bugs.llvm.org/show_bug.cgi?id=24030,dupl,c++,P3,accepts-invalid,9.0,"namespace X { class A; }

namespace Y { using X::A; class A {}; }"
,86187,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86187,25357,https://bugs.llvm.org/show_bug.cgi?id=25357,dupl,c++,P3,accepts-invalid,9.0,"using Y = int[10];

int main() {
    (Y { })[0] = 1;
}"
,86235,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86235,37719,https://bugs.llvm.org/show_bug.cgi?id=37719,dupl,c++,P3,accepts-invalid,5.1.0,"template< int mydim, typename Traits >
class BasicGeometry
{
typedef int some_type_t;
};

template<class ctype, int mydim, int coorddim>
class MockGeometry : BasicGeometry<mydim, int>{
using typename BasicGeometry<mydim, int>::operator[]; // expected-error {{typename is allowed for identifiers only}}
};

int main() {
   return 0;
}"
,86255,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86255,37850,https://bugs.llvm.org/show_bug.cgi?id=37850,dupl,c++,P3,accepts-invalid,9.0,"class Z {
public:


 Z(int);

private:
 int i;
};
Z::Z(int j=43): i(j){}


int main()
{
 Z zobject=Z();

}"
,86225,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86225,71748,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=71748,dupl,c++,P3,accepts-invalid,4.4.0,"struct A
{ 
 virtual ~A () {}
};

struct B : public A
{ 
 virtual ~B () {}
};

template < int > void foo ()
{ 
 B *b = new B;
 b->~A ();
}

int main ()
{ 
 foo < 0 > ();
 return 0;
}
"
,86237,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86237,79184,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=79184,dupl,c++,P3,accepts-invalid,4.8.1,"enum { E = 2 };
template <bool> void f(int) {}
template <int> void f() {}

int
main ()
{
 f<1 * 1>();
 f<1 << 1>();
 f<1 ? 3 : 2>();
 f<E>();

 f<1 * 1>(0);
 f<1 << 1>(0);
 f<1 ? 3 : 2>(0);
 f<E>(0);
}"
,86250,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86250,2189,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=2189,dupl,c++,P3,accepts-invalid,unknown,"//#include <iostream>
//using namespace std;
class Z {
public:
 // gcc version egcs-2.91.66 19990314/Linux (egcs-1.1.2 release) allows to
 // write Z(int) while gcc version 2.97 20010205 wants Z(int j=43)
 Z(int);
 //void print ();
private:
 int i;
};
Z::Z(int j=43): i(j){}
//void Z::print(void){ cout << ""Z : i= "" << i << "".\n"";}

int main()
{
 Z zobject=Z();
 //zobject.print();
}"
,86499,https://gcc.gnu.org/bugzilla/show_bug.cgi?id=86499,18128,https://bugs.llvm.org/show_bug.cgi?id=18128,fixed,c++,P3,accepts-invalid,8.1.0, auto l = [=]{};
